xflr5 v6.61

Plane name :, Wing
Polar name :, T1-22.0 m/s-LLT
Freestream speed :, 22.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.700,     0.000,   0.210178,   0.001986,   0.008216,   0.010202,   0.000000,  -0.000000,  -0.121001,   0.000000,   0.000000,   22.0000,    0.1529
   -3.600,     0.000,   0.216535,   0.002113,   0.008015,   0.010129,   0.000000,  -0.000000,  -0.122013,   0.000000,   0.000000,   22.0000,    0.1496
   -3.500,     0.000,   0.222937,   0.002244,   0.007829,   0.010073,   0.000000,  -0.000000,  -0.122984,   0.000000,   0.000000,   22.0000,    0.1465
   -3.400,     0.000,   0.229940,   0.002386,   0.007665,   0.010051,   0.000000,   0.000000,  -0.124198,   0.000000,   0.000000,   22.0000,    0.1434
   -3.300,     0.000,   0.238494,   0.002553,   0.007530,   0.010083,   0.000000,  -0.000000,  -0.126137,   0.000000,   0.000000,   22.0000,    0.1403
   -3.200,     0.000,   0.249145,   0.002766,   0.007430,   0.010196,   0.000000,  -0.000000,  -0.129157,   0.000000,   0.000000,   22.0000,    0.1375
   -3.100,     0.000,   0.260663,   0.003017,   0.007357,   0.010375,   0.000000,  -0.000000,  -0.132694,   0.000000,   0.000000,   22.0000,    0.1350
   -3.000,     0.000,   0.272997,   0.003294,   0.007306,   0.010599,   0.000000,  -0.000000,  -0.136646,   0.000000,   0.000000,   22.0000,    0.1327
   -2.900,     0.000,   0.285825,   0.003592,   0.007264,   0.010856,   0.000000,  -0.000000,  -0.140856,   0.000000,   0.000000,   22.0000,    0.1306
   -2.800,     0.000,   0.299420,   0.003927,   0.007229,   0.011156,   0.000000,  -0.000000,  -0.145500,   0.000000,  -0.000000,   22.0000,    0.1288
   -2.700,     0.000,   0.313881,   0.004301,   0.007198,   0.011499,   0.000000,  -0.000000,  -0.150615,   0.000000,   0.000000,   22.0000,    0.1271
   -2.600,     0.000,   0.328753,   0.004702,   0.007166,   0.011867,   0.000000,  -0.000000,  -0.155956,   0.000000,   0.000000,   22.0000,    0.1256
   -2.500,     0.000,   0.342546,   0.005088,   0.007138,   0.012226,   0.000000,  -0.000000,  -0.160744,   0.000000,   0.000000,   22.0000,    0.1242
   -2.400,     0.000,   0.353776,   0.005434,   0.007121,   0.012555,   0.000000,  -0.000000,  -0.164289,   0.000000,   0.000000,   22.0000,    0.1229
   -2.300,     0.000,   0.363867,   0.005757,   0.007117,   0.012874,   0.000000,  -0.000000,  -0.167261,   0.000000,   0.000000,   22.0000,    0.1216
   -2.200,     0.000,   0.373363,   0.006077,   0.007117,   0.013194,   0.000000,  -0.000000,  -0.169959,   0.000000,   0.000000,   22.0000,    0.1204
   -2.100,     0.000,   0.382428,   0.006395,   0.007117,   0.013512,   0.000000,  -0.000000,  -0.172454,   0.000000,   0.000000,   22.0000,    0.1193
   -2.000,     0.000,   0.391370,   0.006714,   0.007113,   0.013827,   0.000000,  -0.000000,  -0.174882,   0.000000,  -0.000000,   22.0000,    0.1182
   -1.900,     0.000,   0.400111,   0.007026,   0.007109,   0.014135,   0.000000,  -0.000000,  -0.177178,   0.000000,   0.000000,   22.0000,    0.1171
   -1.800,     0.000,   0.408526,   0.007339,   0.007107,   0.014446,   0.000000,  -0.000000,  -0.179322,   0.000000,   0.000000,   22.0000,    0.1160
   -1.700,     0.000,   0.416826,   0.007650,   0.007108,   0.014757,   0.000000,  -0.000000,  -0.181389,   0.000000,   0.000000,   22.0000,    0.1150
   -1.600,     0.000,   0.425104,   0.007968,   0.007110,   0.015078,   0.000000,  -0.000000,  -0.183444,   0.000000,   0.000000,   22.0000,    0.1140
   -1.500,     0.000,   0.433349,   0.008295,   0.007116,   0.015410,   0.000000,  -0.000000,  -0.185485,   0.000000,   0.000000,   22.0000,    0.1131
   -1.400,     0.000,   0.441413,   0.008610,   0.007127,   0.015737,   0.000000,  -0.000000,  -0.187399,   0.000000,   0.000000,   22.0000,    0.1121
   -1.300,     0.000,   0.449417,   0.008933,   0.007143,   0.016075,   0.000000,  -0.000000,  -0.189295,   0.000000,   0.000000,   22.0000,    0.1112
