S7055
T1-18.8 m/s-LLT
Freestream speed = 18.800 m/s


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0          1.4            0            0      0.43898      0.01669    0.0082116    0.0084785            0     -0.19103            0     -0.19103   -3.887e-18   1.4331e-19  -8.4678e-21   1.5178e-19       26.302       17.427       1.5093       47.004       1.7871     -0.24085            0       47.012            0            0            0            0            0            0       18.786            0         18.8       2.1773  -8.3295e-16      -5.4267   1.0343e-17          nan          nan          nan       10.581            0       33.597       0.9597          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          1.6            0            0      0.45552     0.017378    0.0082218    0.0091566            0     -0.19517            0     -0.19517  -2.6821e-18   6.5557e-20  -1.6934e-20   8.2491e-20       26.212       17.691       1.4817       48.775       1.8608     -0.38181            0       48.783            0            0            0            0            0            0       18.786            0         18.8       2.1848  -5.7465e-16      -5.5441  -2.0069e-18          nan          nan          nan       11.007            0       34.983      0.95683          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          1.8            0            0      0.47161     0.018092    0.0082417    0.0098503            0     -0.19909            0     -0.19909  -1.9756e-18   1.5883e-19   3.0478e-20   1.2835e-19       26.067       17.902       1.4562       50.498       1.9372     -0.53198            0       50.506            0            0            0            0            0            0       18.786            0         18.8       2.1969  -4.2373e-16      -5.6555   2.0713e-17          nan          nan          nan        11.42            0       36.419      0.95341          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0            2            0            0      0.48701     0.018741    0.0082131     0.010528            0     -0.20263            0     -0.20263  -4.2729e-18   9.1221e-19   5.6039e-19   3.5181e-19       25.986       18.134        1.433       52.146       2.0067     -0.69324            0       52.154            0            0            0            0            0            0       18.786            0         18.8       2.2038  -9.1712e-16      -5.7562   1.6344e-16          nan          nan          nan       11.807            0       37.727      0.95119          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          2.2            0            0      0.50214     0.019404    0.0082004     0.011203            0     -0.20599            0     -0.20599  -3.8389e-18   5.4486e-19   2.0991e-19   3.3495e-19       25.878       18.338       1.4112       53.767       2.0777     -0.86527            0       53.773            0            0            0            0            0            0       18.786            0         18.8       2.2129  -8.2425e-16      -5.8515   8.5103e-17          nan          nan          nan       12.181            0        39.06       0.9503          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          2.4            0            0       0.5173     0.020101    0.0082029     0.011898            0     -0.20933            0     -0.20933  -2.2782e-18   5.8054e-20   4.4007e-20   1.4046e-20       25.735        18.51       1.3904       55.389       2.1523      -1.0466            0       55.394            0            0            0            0            0            0       18.786            0         18.8       2.2252  -4.8758e-16      -5.9464  -7.9927e-18          nan          nan          nan       12.556            0       40.463      0.94965          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          2.6            0            0      0.53285     0.020897    0.0082399     0.012657            0     -0.21297            0     -0.21297  -1.2752e-18   1.2926e-20   1.1846e-20   1.0794e-21       25.499       18.613       1.3699       57.055       2.2376      -1.2343            0       57.058            0            0            0            0            0            0       18.786            0         18.8       2.2459  -2.7281e-16        -6.05  -9.6175e-18          nan          nan          nan       12.948            0       42.066      0.94717          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          2.8            0            0      0.54833     0.021704    0.0082759     0.013428            0     -0.21657            0     -0.21657  -2.0358e-18   4.0445e-20   5.0761e-20  -1.0316e-20       25.264       18.708       1.3505       58.712       2.3239       -1.432            0       58.712            0            0            0            0            0            0       18.785            0         18.8       2.2667  -4.3534e-16       -6.152   -1.262e-17          nan          nan          nan       13.337            0       43.689      0.94544          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0            3            0            0      0.56365     0.022529    0.0083211     0.014208            0     -0.22005            0     -0.22005  -3.2984e-18   2.7045e-19   2.3684e-20   2.4676e-19       25.019       18.783        1.332       60.353       2.4123      -1.6394            0        60.35            0            0            0            0            0            0       18.785            0         18.8       2.2889  -7.0815e-16      -6.2511   2.0883e-17          nan          nan          nan       13.718            0       45.352      0.94415          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          3.2            0            0      0.57871     0.023358    0.0083658     0.014992            0      -0.2234            0      -0.2234  -3.2414e-18   2.7423e-19  -1.6914e-20   2.9115e-19       24.776       18.848       1.3145       61.965       2.5011      -1.8562            0       61.958            0            0            0            0            0            0       18.785            0         18.8       2.3113  -6.9655e-16      -6.3461   1.9876e-17          nan          nan          nan       14.089            0        47.02      0.94322          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          3.4            0            0      0.59382     0.024218    0.0084207     0.015798            0     -0.22676            0     -0.22676    5.793e-20   9.4831e-20   3.3822e-20    6.101e-20       24.519       18.894       1.2977       63.583       2.5932      -2.0823            0       63.571            0            0            0            0            0            0       18.784            0         18.8       2.3355   1.1609e-17      -6.4416   2.1034e-17          nan          nan          nan        14.46            0       48.752      0.94248          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          3.6            0            0       0.6088     0.025094    0.0084738      0.01662            0     -0.23007            0     -0.23007  -2.1934e-18   1.5777e-19   5.5794e-20   1.0197e-19       24.261        18.93       1.2816       65.188       2.6869      -2.3171            0       65.171            0            0            0            0            0            0       18.784            0         18.8       2.3603  -4.7017e-16      -6.5355   4.2724e-18          nan          nan          nan        14.83            0       50.514      0.94163          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          3.8            0            0      0.62351     0.025974    0.0085252     0.017449            0      -0.2332            0      -0.2332  -9.7451e-19   2.9478e-20  -2.1974e-20   5.1452e-20       24.005       18.955       1.2664       66.762       2.7812      -2.5604            0       66.739            0            0            0            0            0            0       18.784            0         18.8       2.3854  -2.0896e-16      -6.6246  -7.5528e-18          nan          nan          nan       15.197            0       52.286      0.94075          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0            4            0            0      0.63782     0.026867    0.0085785     0.018289            0     -0.23616            0     -0.23616   1.0853e-18  -1.7705e-20   5.0698e-21  -2.2775e-20        23.74       18.959       1.2521       68.294       2.8768      -2.8105            0       68.265            0            0            0            0            0            0       18.783            0         18.8       2.4121   2.3218e-16      -6.7086   1.2435e-17          nan          nan          nan       15.557            0       54.084      0.93922          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          4.2            0            0      0.65195     0.027776    0.0086462      0.01913            0     -0.23901            0     -0.23901  -3.9701e-18   4.0001e-19   5.9133e-20   3.4088e-19       23.471       18.951       1.2385       69.807       2.9742      -3.0697            0        69.77            0            0            0            0            0            0       18.783            0         18.8       2.4396  -8.5327e-16      -6.7894   2.3234e-17          nan          nan          nan       15.912            0       55.914      0.93812          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          4.4            0            0      0.66604     0.028716    0.0087253     0.019991            0     -0.24186            0     -0.24186  -2.6554e-18   1.3518e-19   2.1958e-20   1.1323e-19       23.194       18.929       1.2253       71.316       3.0748      -3.3371            0        71.27            0            0            0            0            0            0       18.783            0         18.8       2.4688  -5.6885e-16      -6.8705  -1.4735e-17          nan          nan          nan       16.265            0       57.806      0.93697          nan            0            0            0            0            0            0            0            0            0            0            0            0  
